Time,X,Y
2.950000000000000000e+01,3.326225585937500000e+02,2.876042480468750000e+02
2.954166666666666785e+01,3.232919311523437500e+02,3.239166564941406250e+02
2.958333333333333570e+01,3.218690490722656250e+02,3.225812377929687500e+02
2.962500000000000000e+01,3.213042602539062500e+02,3.231822814941406250e+02
2.966666666666666785e+01,2.794695434570312500e+02,3.053964538574218750e+02
2.970833333333333570e+01,2.785069274902343750e+02,3.048741149902343750e+02
2.975000000000000000e+01,2.784563598632812500e+02,3.061276855468750000e+02
2.979166666666666785e+01,2.795918579101562500e+02,3.054193725585937500e+02
2.983333333333333570e+01,6.540457153320312500e+02,1.125836425781250000e+03
2.987500000000000000e+01,3.223137817382812500e+02,3.240444946289062500e+02
2.991666666666666785e+01,3.333205566406250000e+02,3.256475524902343750e+02
2.995833333333333570e+01,3.416410522460937500e+02,3.254328002929687500e+02
3.000000000000000000e+01,3.469324645996093750e+02,3.251388854980468750e+02
3.004166666666666785e+01,3.464330444335937500e+02,2.961466979980468750e+02
3.008333333333333570e+01,3.354491271972656250e+02,2.912951049804687500e+02
3.012500000000000000e+01,3.496508178710937500e+02,3.264688110351562500e+02
3.016666666666666785e+01,3.301389160156250000e+02,2.937578125000000000e+02
3.020833333333333570e+01,3.346288757324218750e+02,2.916398925781250000e+02
3.025000000000000000e+01,3.325288085937500000e+02,2.982001342773437500e+02
3.029166666666666785e+01,3.317871093750000000e+02,2.982962951660156250e+02
3.033333333333333570e+01,3.309915466308593750e+02,2.987023925781250000e+02
3.037500000000000000e+01,3.309453735351562500e+02,2.980347290039062500e+02
3.041666666666666785e+01,2.763027343750000000e+02,3.062184143066406250e+02
3.045833333333333570e+01,2.720491638183593750e+02,2.986614074707031250e+02
3.050000000000000000e+01,2.833401794433593750e+02,2.992856140136718750e+02
3.054166666666666785e+01,2.775621643066406250e+02,3.044665832519531250e+02
3.058333333333333570e+01,2.802669982910156250e+02,3.039989013671875000e+02
3.062500000000000000e+01,2.840886840820312500e+02,2.994345703125000000e+02
3.066666666666666785e+01,3.348072814941406250e+02,2.912950439453125000e+02
3.070833333333333570e+01,3.457292480468750000e+02,2.947035522460937500e+02
3.075000000000000000e+01,3.341192626953125000e+02,2.929768981933593750e+02
3.079166666666666785e+01,3.319415893554687500e+02,2.975050354003906250e+02
3.083333333333333570e+01,3.350625000000000000e+02,2.953792724609375000e+02
3.087500000000000000e+01,3.483348388671875000e+02,3.259306030273437500e+02
3.091666666666666785e+01,3.479770812988281250e+02,2.923290710449218750e+02
3.095833333333333570e+01,3.307982482910156250e+02,2.969150390625000000e+02
3.100000000000000000e+01,3.292611083984375000e+02,2.967056579589843750e+02
3.104166666666666785e+01,3.373623962402343750e+02,2.943843383789062500e+02
3.108333333333333570e+01,3.283713073730468750e+02,2.967221069335937500e+02
3.112500000000000000e+01,3.264189147949218750e+02,2.963838806152343750e+02
3.116666666666666785e+01,2.798103332519531250e+02,3.035287780761718750e+02
3.120833333333333570e+01,2.782114562988281250e+02,3.032885131835937500e+02
3.125000000000000000e+01,2.621345214843750000e+02,3.120819396972656250e+02
3.129166666666666785e+01,2.800537109375000000e+02,3.028759155273437500e+02
3.133333333333333570e+01,2.807859497070312500e+02,3.028954467773437500e+02
3.137500000000000000e+01,6.541008911132812500e+02,1.125912231445312500e+03
3.141666666666666785e+01,2.570187377929687500e+02,3.112627563476562500e+02
3.145833333333333570e+01,3.263673095703125000e+02,2.978952331542968750e+02
3.150000000000000000e+01,3.946586608886718750e+02,1.084225341796875000e+03
3.154166666666666785e+01,3.485158996582031250e+02,3.266259765625000000e+02
3.158333333333333570e+01,3.496090087890625000e+02,3.263712463378906250e+02
3.162500000000000000e+01,3.501897888183593750e+02,3.257590026855468750e+02
3.166666666666666785e+01,3.487243652343750000e+02,3.256699829101562500e+02
3.170833333333333570e+01,3.374679260253906250e+02,2.946037292480468750e+02
